error_rate,key_length,mismatch,noise,stability,label
0.3269230769230769,52,17.0,0.10687869822485208,0.6730769230769231,1
0.4230769230769231,52,22.0,0.17899408284023668,0.5769230769230769,1
0.15555555555555556,45,7.0,0.02419753086419753,0.8444444444444444,0
0.22,50,11.0,0.0484,0.78,0
0.4418604651162791,43,19.0,0.19524067063277448,0.5581395348837209,1
0.19607843137254902,51,10.0,0.03844675124951941,0.803921568627451,0
0.3,50,15.0,0.09,0.7,0
0.1875,48,9.0,0.03515625,0.8125,0
0.46511627906976744,43,20.0,0.21633315305570577,0.5348837209302326,1
0.37037037037037035,54,20.0,0.1371742112482853,0.6296296296296297,1
0.1836734693877551,49,9.0,0.03373594335693461,0.8163265306122449,0
0.2222222222222222,54,12.0,0.04938271604938271,0.7777777777777778,0
0.2682926829268293,41,11.0,0.07198096371207616,0.7317073170731707,0
0.2682926829268293,41,11.0,0.07198096371207616,0.7317073170731707,0
0.41818181818181815,55,23.0,0.1748760330578512,0.5818181818181818,1
0.1875,48,9.0,0.03515625,0.8125,0
0.37209302325581395,43,16.0,0.1384532179556517,0.627906976744186,1
0.2916666666666667,48,14.0,0.08506944444444446,0.7083333333333333,1
0.20408163265306123,49,10.0,0.04164931278633903,0.7959183673469388,0
0.4117647058823529,51,21.0,0.1695501730103806,0.5882352941176471,1
0.4782608695652174,46,22.0,0.2287334593572779,0.5217391304347826,1
0.38,50,19.0,0.1444,0.62,1
0.48,50,24.0,0.2304,0.52,1
0.21739130434782608,46,10.0,0.04725897920604915,0.782608695652174,1
0.3137254901960784,51,16.0,0.09842368319876971,0.6862745098039216,1
0.27906976744186046,43,12.0,0.07787993510005409,0.7209302325581395,1
0.26,50,13.0,0.06760000000000001,0.74,0
0.4528301886792453,53,24.0,0.2050551797792809,0.5471698113207547,1
0.32653061224489793,49,15.999999999999998,0.10662224073302788,0.6734693877551021,0
0.19230769230769232,52,10.0,0.03698224852071006,0.8076923076923077,0
0.3469387755102041,49,17.0,0.12036651395251978,0.653061224489796,0
0.2631578947368421,38,10.0,0.06925207756232686,0.736842105263158,1
0.25,44,11.0,0.0625,0.75,0
0.2391304347826087,46,11.0,0.057183364839319475,0.7608695652173914,0
0.4,55,22.0,0.16000000000000003,0.6,1
0.2909090909090909,55,16.0,0.08462809917355371,0.7090909090909091,0
0.40384615384615385,52,21.0,0.16309171597633138,0.5961538461538461,1
0.2608695652173913,46,12.0,0.06805293005671077,0.7391304347826086,1
0.16363636363636364,55,9.0,0.026776859504132233,0.8363636363636364,0
0.20512820512820512,39,8.0,0.042077580539118996,0.7948717948717949,0
0.34545454545454546,55,19.0,0.11933884297520661,0.6545454545454545,1
0.16666666666666666,48,8.0,0.027777777777777776,0.8333333333333334,0
0.225,40,9.0,0.050625,0.775,0
0.3541666666666667,48,17.0,0.1254340277777778,0.6458333333333333,0
0.2978723404255319,47,14.0,0.08872793119058396,0.7021276595744681,0
0.22448979591836735,49,11.0,0.05039566847147022,0.7755102040816326,0
0.21818181818181817,55,12.0,0.047603305785123964,0.7818181818181819,0
0.22916666666666666,48,11.0,0.052517361111111105,0.7708333333333334,0
0.32,50,16.0,0.1024,0.6799999999999999,0
0.1724137931034483,58,10.0,0.02972651605231867,0.8275862068965517,0
0.4489795918367347,49,22.0,0.2015826738858809,0.5510204081632653,1
0.39622641509433965,53,21.0,0.15699537201851194,0.6037735849056604,0
0.4418604651162791,43,19.0,0.19524067063277448,0.5581395348837209,1
0.30434782608695654,46,14.0,0.09262759924385634,0.6956521739130435,1
0.3137254901960784,51,16.0,0.09842368319876971,0.6862745098039216,1
0.3902439024390244,41,16.0,0.1522903033908388,0.6097560975609756,0
0.22448979591836735,49,11.0,0.05039566847147022,0.7755102040816326,0
0.2982456140350877,57,17.0,0.0889504462911665,0.7017543859649122,0
0.5,52,26.0,0.25,0.5,1
0.2857142857142857,56,16.0,0.08163265306122448,0.7142857142857143,0
0.44,50,22.0,0.1936,0.56,1
0.18604651162790697,43,8.0,0.03461330448891292,0.813953488372093,0
0.3333333333333333,42,14.0,0.1111111111111111,0.6666666666666667,1
0.2727272727272727,44,12.0,0.07438016528925619,0.7272727272727273,0
0.22641509433962265,53,12.0,0.051263794944820223,0.7735849056603774,0
0.18,50,9.0,0.0324,0.8200000000000001,0
0.3090909090909091,55,17.0,0.09553719008264462,0.6909090909090909,0
0.2711864406779661,59,16.0,0.07354208560758403,0.728813559322034,0
0.3673469387755102,49,18.0,0.13494377342773844,0.6326530612244898,1
0.3888888888888889,54,21.0,0.15123456790123457,0.6111111111111112,1
